method,modality,dataset,seed,samples,dice_mean,iou_mean,nsd_mean,hd95_finite_mean,assd_finite_mean,one_empty_failure_rate,source
RollingUNet,image-only,medclipseg_covid19,456,2113,0.793707,0.698387,0.665890,29.719957,6.876769,0.001893,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_covid19/seed456/controls/true/summary.csv
RollingUNet,image-only,medclipseg_covid19,789,2113,0.795237,0.701582,0.667545,28.309206,6.771325,0.002840,<PROJECT_ROOT>/logs/protocol_v3_rolling_canonical/medclipseg_covid19/seed789/controls/true/summary.csv
U-Net,image-only,medclipseg_busi,123,78,0.605843,0.519670,0.115858,121.487320,30.431943,0.166667,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busi/seed123/controls/true/summary.csv
U-Net,image-only,medclipseg_busi,456,78,0.606886,0.516561,0.108613,151.479766,37.659014,0.166667,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busi/seed456/controls/true/summary.csv
U-Net,image-only,medclipseg_busi,789,78,0.626498,0.544831,0.143756,89.413157,24.294876,0.166667,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busi/seed789/controls/true/summary.csv
U-Net,image-only,medclipseg_clinicdb,123,61,0.841310,0.761259,0.361853,42.060919,10.393984,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_clinicdb/seed123/controls/true/summary.csv
U-Net,image-only,medclipseg_clinicdb,456,61,0.863962,0.785473,0.375801,34.805346,8.515261,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_clinicdb/seed456/controls/true/summary.csv
U-Net,image-only,medclipseg_clinicdb,789,61,0.863004,0.784872,0.427346,31.511986,7.633119,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_clinicdb/seed789/controls/true/summary.csv
U-Net,image-only,medclipseg_busbra,123,282,0.874169,0.791439,0.454145,22.571293,6.033196,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busbra/seed123/controls/true/summary.csv
U-Net,image-only,medclipseg_busbra,456,282,0.874357,0.791806,0.440908,22.565464,6.158326,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busbra/seed456/controls/true/summary.csv
U-Net,image-only,medclipseg_busbra,789,282,0.872002,0.788641,0.447515,21.374645,5.947160,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_busbra/seed789/controls/true/summary.csv
U-Net,image-only,medclipseg_brisc,123,892,0.848828,0.774625,0.625341,14.175327,5.002423,0.005605,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_brisc/seed123/controls/true/summary.csv
U-Net,image-only,medclipseg_brisc,456,892,0.851220,0.774908,0.606045,13.600299,4.821505,0.004484,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_brisc/seed456/controls/true/summary.csv
U-Net,image-only,medclipseg_brisc,789,892,0.849875,0.775366,0.618995,13.683931,4.793107,0.008969,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_brisc/seed789/controls/true/summary.csv
U-Net,image-only,medclipseg_covid19,123,2113,0.788625,0.690449,0.636786,30.395434,7.043660,0.000000,<PROJECT_ROOT>/logs/protocol_v3_image_baselines/unet/medclipseg_covid19/seed123/controls/true/summary.csv
